,speed1,speed2,speed3,speed4,speed5,speed6,ScenarioID,road,reward,scenario,strategy
10_scenario_9|road4|jerk|sunny_night|greedy,6.971,6.137,5.911,5.733,5.468,5.099,10_scenario_9,road4,jerk,sunny_night,greedy
11_scenario_0|road4|jerk|sunny_night|greedy,0.001,1.734,3.965,2.633,2.817,4.305,11_scenario_0,road4,jerk,sunny_night,greedy
11_scenario_1|road4|jerk|sunny_night|greedy,4.482,5.711,7.47,8.157,8.807,8.906,11_scenario_1,road4,jerk,sunny_night,greedy
11_scenario_10|road4|jerk|sunny_night|greedy,2.182,1.53,1.315,1.454,1.822,1.605,11_scenario_10,road4,jerk,sunny_night,greedy
11_scenario_11|road4|jerk|sunny_night|greedy,1.357,1.048,0.797,0.028,1.24,0.994,11_scenario_11,road4,jerk,sunny_night,greedy
11_scenario_2|road4|jerk|sunny_night|greedy,9.005,9.086,9.163,9.353,9.617,9.87,11_scenario_2,road4,jerk,sunny_night,greedy
11_scenario_3|road4|jerk|sunny_night|greedy,9.965,10.056,10.146,10.235,10.32,10.406,11_scenario_3,road4,jerk,sunny_night,greedy
11_scenario_4|road4|jerk|sunny_night|greedy,10.491,10.575,10.661,8.356,7.505,6.825,11_scenario_4,road4,jerk,sunny_night,greedy
11_scenario_5|road4|jerk|sunny_night|greedy,6.335,5.996,5.506,5.342,3.177,4.505,11_scenario_5,road4,jerk,sunny_night,greedy
11_scenario_6|road4|jerk|sunny_night|greedy,6.014,6.267,7.837,6.265,7.901,8.06,11_scenario_6,road4,jerk,sunny_night,greedy
11_scenario_7|road4|jerk|sunny_night|greedy,8.17,7.392,7.07,6.724,6.479,6.18,11_scenario_7,road4,jerk,sunny_night,greedy
11_scenario_8|road4|jerk|sunny_night|greedy,5.881,4.654,4.116,3.831,3.625,3.761,11_scenario_8,road4,jerk,sunny_night,greedy
11_scenario_9|road4|jerk|sunny_night|greedy,3.543,2.674,2.456,2.89,2.676,2.41,11_scenario_9,road4,jerk,sunny_night,greedy
12_scenario_0|road4|jerk|sunny_night|greedy,0.001,1.65,3.812,5.829,6.213,7.26,12_scenario_0,road4,jerk,sunny_night,greedy
12_scenario_1|road4|jerk|sunny_night|greedy,8.864,8.966,9.08,9.189,9.416,8.835,12_scenario_1,road4,jerk,sunny_night,greedy
12_scenario_10|road4|jerk|sunny_night|greedy,2.948,2.139,1.895,2.045,2.126,1.909,12_scenario_10,road4,jerk,sunny_night,greedy
12_scenario_11|road4|jerk|sunny_night|greedy,1.692,1.438,1.202,1.38,1.777,1.407,12_scenario_11,road4,jerk,sunny_night,greedy
12_scenario_12|road4|jerk|sunny_night|greedy,1.073,0.838,0.001,1.622,1.366,0.992,12_scenario_12,road4,jerk,sunny_night,greedy
12_scenario_2|road4|jerk|sunny_night|greedy,7.376,7.994,8.113,7.76,5.449,3.394,12_scenario_2,road4,jerk,sunny_night,greedy
12_scenario_3|road4|jerk|sunny_night|greedy,1.931,4.016,5.451,7.04,8.131,8.428,12_scenario_3,road4,jerk,sunny_night,greedy
12_scenario_4|road4|jerk|sunny_night|greedy,8.577,7.478,7.595,7.75,7.483,7.21,12_scenario_4,road4,jerk,sunny_night,greedy
12_scenario_5|road4|jerk|sunny_night|greedy,6.945,6.289,6.027,5.835,5.583,5.351,12_scenario_5,road4,jerk,sunny_night,greedy
12_scenario_6|road4|jerk|sunny_night|greedy,5.474,6.18,4.839,5.773,4.312,5.902,12_scenario_6,road4,jerk,sunny_night,greedy
12_scenario_7|road4|jerk|sunny_night|greedy,7.682,8.53,7.589,7.745,7.856,7.815,12_scenario_7,road4,jerk,sunny_night,greedy
12_scenario_8|road4|jerk|sunny_night|greedy,7.567,6.647,5.935,5.573,5.295,5.162,12_scenario_8,road4,jerk,sunny_night,greedy
12_scenario_9|road4|jerk|sunny_night|greedy,5.043,4.286,3.68,3.69,3.457,3.251,12_scenario_9,road4,jerk,sunny_night,greedy
13_scenario_0|road4|jerk|sunny_night|greedy,0.001,1.727,3.86,4.121,4.811,5.207,13_scenario_0,road4,jerk,sunny_night,greedy
13_scenario_1|road4|jerk|sunny_night|greedy,5.383,6.805,6.581,6.682,6.629,8.295,13_scenario_1,road4,jerk,sunny_night,greedy
13_scenario_10|road4|jerk|sunny_night|greedy,1.027,0.78,0.281,1.377,1.178,0.855,13_scenario_10,road4,jerk,sunny_night,greedy
13_scenario_2|road4|jerk|sunny_night|greedy,7.653,6.515,5.653,5.883,6.196,6.689,13_scenario_2,road4,jerk,sunny_night,greedy
13_scenario_3|road4|jerk|sunny_night|greedy,7.522,7.953,8.321,8.442,8.626,8.492,13_scenario_3,road4,jerk,sunny_night,greedy
13_scenario_4|road4|jerk|sunny_night|greedy,8.449,7.285,7.39,7.569,7.707,7.615,13_scenario_4,road4,jerk,sunny_night,greedy
13_scenario_5|road4|jerk|sunny_night|greedy,7.19,6.268,6.074,6.034,5.775,5.511,13_scenario_5,road4,jerk,sunny_night,greedy
13_scenario_6|road4|jerk|sunny_night|greedy,5.465,6.552,4.846,6.508,6.124,4.515,13_scenario_6,road4,jerk,sunny_night,greedy
13_scenario_7|road4|jerk|sunny_night|greedy,6.059,6.964,8.219,9.207,9.465,9.708,13_scenario_7,road4,jerk,sunny_night,greedy
13_scenario_8|road4|jerk|sunny_night|greedy,10.042,10.122,10.209,10.295,9.296,8.119,13_scenario_8,road4,jerk,sunny_night,greedy
13_scenario_9|road4|jerk|sunny_night|greedy,6.883,5.911,4.505,3.352,2.228,1.37,13_scenario_9,road4,jerk,sunny_night,greedy
14_scenario_0|road4|jerk|sunny_night|greedy,0.001,0.551,2.736,3.889,5.281,6.576,14_scenario_0,road4,jerk,sunny_night,greedy
14_scenario_1|road4|jerk|sunny_night|greedy,8.295,8.46,8.754,8.857,8.968,9.084,14_scenario_1,road4,jerk,sunny_night,greedy
14_scenario_10|road4|jerk|sunny_night|greedy,2.033,1.581,1.35,1.489,1.276,1.736,14_scenario_10,road4,jerk,sunny_night,greedy
14_scenario_11|road4|jerk|sunny_night|greedy,1.415,1.145,0.892,0.001,1.178,0.996,14_scenario_11,road4,jerk,sunny_night,greedy
14_scenario_12|road4|jerk|sunny_night|greedy,0.728,0.023,1.621,1.293,0.002,0.887,14_scenario_12,road4,jerk,sunny_night,greedy
14_scenario_2|road4|jerk|sunny_night|greedy,8.639,8.847,8.952,9.062,9.164,9.333,14_scenario_2,road4,jerk,sunny_night,greedy
14_scenario_3|road4|jerk|sunny_night|greedy,9.59,9.84,9.973,10.065,10.151,10.237,14_scenario_3,road4,jerk,sunny_night,greedy
14_scenario_4|road4|jerk|sunny_night|greedy,10.325,10.412,7.96,6.667,6.083,5.671,14_scenario_4,road4,jerk,sunny_night,greedy
14_scenario_5|road4|jerk|sunny_night|greedy,5.42,5.538,5.785,4.683,6.076,4.894,14_scenario_5,road4,jerk,sunny_night,greedy
14_scenario_6|road4|jerk|sunny_night|greedy,6.511,6.7,8.343,8.658,8.756,8.858,14_scenario_6,road4,jerk,sunny_night,greedy
14_scenario_7|road4|jerk|sunny_night|greedy,7.725,6.752,5.622,5.155,4.972,5.175,14_scenario_7,road4,jerk,sunny_night,greedy
14_scenario_8|road4|jerk|sunny_night|greedy,5.314,4.296,3.937,3.679,3.25,3.091,14_scenario_8,road4,jerk,sunny_night,greedy
14_scenario_9|road4|jerk|sunny_night|greedy,2.92,2.329,2.346,2.763,2.124,1.722,14_scenario_9,road4,jerk,sunny_night,greedy
15_scenario_0|road4|jerk|sunny_night|greedy,0.054,1.835,4.195,3.725,5.328,6.549,15_scenario_0,road4,jerk,sunny_night,greedy
15_scenario_1_npc_vehicle|road4|jerk|sunny_night|greedy,7.596,8.643,8.748,8.858,8.967,1.86,15_scenario_1_npc_vehicle,road4,jerk,sunny_night,greedy
16_scenario_0|road4|jerk|sunny_night|greedy,0.001,1.717,4.028,5.617,7.118,8.377,16_scenario_0,road4,jerk,sunny_night,greedy
16_scenario_1|road4|jerk|sunny_night|greedy,8.673,8.856,8.961,9.073,9.175,8.613,16_scenario_1,road4,jerk,sunny_night,greedy
16_scenario_10|road4|jerk|sunny_night|greedy,2.162,0.806,0.933,1.727,1.358,1.021,16_scenario_10,road4,jerk,sunny_night,greedy
16_scenario_11|road4|jerk|sunny_night|greedy,0.52,0.001,1.07,0.001,0.0,0.0,16_scenario_11,road4,jerk,sunny_night,greedy
16_scenario_2|road4|jerk|sunny_night|greedy,8.769,8.924,9.03,9.132,9.252,9.512,16_scenario_2,road4,jerk,sunny_night,greedy
16_scenario_3|road4|jerk|sunny_night|greedy,9.781,10.039,10.126,10.215,10.3,10.387,16_scenario_3,road4,jerk,sunny_night,greedy
16_scenario_4|road4|jerk|sunny_night|greedy,10.472,10.559,7.969,6.743,5.898,5.37,16_scenario_4,road4,jerk,sunny_night,greedy
16_scenario_5|road4|jerk|sunny_night|greedy,5.36,6.533,5.701,3.977,5.335,6.955,16_scenario_5,road4,jerk,sunny_night,greedy
16_scenario_6|road4|jerk|sunny_night|greedy,8.495,8.826,8.926,8.612,8.215,7.821,16_scenario_6,road4,jerk,sunny_night,greedy
16_scenario_7|road4|jerk|sunny_night|greedy,6.71,5.814,5.583,5.551,5.266,5.005,16_scenario_7,road4,jerk,sunny_night,greedy
16_scenario_8|road4|jerk|sunny_night|greedy,4.754,3.765,3.458,3.221,2.985,2.772,16_scenario_8,road4,jerk,sunny_night,greedy
16_scenario_9|road4|jerk|sunny_night|greedy,2.542,1.806,2.165,1.995,1.771,1.539,16_scenario_9,road4,jerk,sunny_night,greedy
17_scenario_0|road4|jerk|sunny_night|greedy,0.001,1.679,3.95,5.491,6.888,7.933,17_scenario_0,road4,jerk,sunny_night,greedy
17_scenario_1|road4|jerk|sunny_night|greedy,9.147,9.254,9.52,9.784,9.231,8.7,17_scenario_1,road4,jerk,sunny_night,greedy
17_scenario_10|road4|jerk|sunny_night|greedy,2.103,1.796,2.182,1.946,2.632,1.779,17_scenario_10,road4,jerk,sunny_night,greedy
17_scenario_11|road4|jerk|sunny_night|greedy,1.39,1.133,0.896,1.143,1.629,1.248,17_scenario_11,road4,jerk,sunny_night,greedy
17_scenario_12|road4|jerk|sunny_night|greedy,0.917,0.001,1.026,0.941,0.001,0.808,17_scenario_12,road4,jerk,sunny_night,greedy
17_scenario_2|road4|jerk|sunny_night|greedy,8.771,6.902,7.953,8.092,9.08,9.177,17_scenario_2,road4,jerk,sunny_night,greedy
17_scenario_3|road4|jerk|sunny_night|greedy,9.377,9.628,9.919,10.01,10.103,10.19,17_scenario_3,road4,jerk,sunny_night,greedy
17_scenario_4|road4|jerk|sunny_night|greedy,10.278,10.367,7.922,6.892,6.107,5.086,17_scenario_4,road4,jerk,sunny_night,greedy
17_scenario_5|road4|jerk|sunny_night|greedy,5.174,6.76,4.577,3.999,5.813,3.716,17_scenario_5,road4,jerk,sunny_night,greedy
17_scenario_6|road4|jerk|sunny_night|greedy,5.19,6.488,6.169,7.679,7.801,6.504,17_scenario_6,road4,jerk,sunny_night,greedy
17_scenario_7|road4|jerk|sunny_night|greedy,5.325,5.428,4.863,4.199,3.909,3.812,17_scenario_7,road4,jerk,sunny_night,greedy
17_scenario_8|road4|jerk|sunny_night|greedy,5.177,4.87,4.595,4.381,4.376,4.195,17_scenario_8,road4,jerk,sunny_night,greedy
17_scenario_9|road4|jerk|sunny_night|greedy,3.881,3.333,2.835,2.703,2.499,2.273,17_scenario_9,road4,jerk,sunny_night,greedy
18_scenario_0|road4|jerk|sunny_night|greedy,0.106,0.257,2.191,1.352,1.101,1.946,18_scenario_0,road4,jerk,sunny_night,greedy
18_scenario_1|road4|jerk|sunny_night|greedy,4.058,6.019,5.056,4.774,5.011,6.861,18_scenario_1,road4,jerk,sunny_night,greedy
18_scenario_10|road4|jerk|sunny_night|greedy,4.817,4.247,4.446,4.271,4.047,3.841,18_scenario_10,road4,jerk,sunny_night,greedy
18_scenario_11|road4|jerk|sunny_night|greedy,3.63,2.908,2.698,2.154,1.897,1.681,18_scenario_11,road4,jerk,sunny_night,greedy
18_scenario_12|road4|jerk|sunny_night|greedy,2.272,1.729,1.477,1.241,1.491,1.404,18_scenario_12,road4,jerk,sunny_night,greedy
18_scenario_13|road4|jerk|sunny_night|greedy,1.44,1.195,0.928,0.002,1.326,1.141,18_scenario_13,road4,jerk,sunny_night,greedy
18_scenario_14|road4|jerk|sunny_night|greedy,0.851,0.001,1.14,0.918,0.001,0.046,18_scenario_14,road4,jerk,sunny_night,greedy
18_scenario_2|road4|jerk|sunny_night|greedy,6.985,7.123,7.156,7.242,7.393,7.715,18_scenario_2,road4,jerk,sunny_night,greedy
18_scenario_3|road4|jerk|sunny_night|greedy,7.876,7.987,8.1,8.328,8.036,7.636,18_scenario_3,road4,jerk,sunny_night,greedy
18_scenario_4|road4|jerk|sunny_night|greedy,7.079,6.666,6.266,6.354,6.474,6.594,18_scenario_4,road4,jerk,sunny_night,greedy
18_scenario_5|road4|jerk|sunny_night|greedy,5.887,4.827,3.359,2.442,4.149,5.989,18_scenario_5,road4,jerk,sunny_night,greedy
18_scenario_6|road4|jerk|sunny_night|greedy,6.141,5.543,5.534,5.301,5.439,5.574,18_scenario_6,road4,jerk,sunny_night,greedy
18_scenario_7|road4|jerk|sunny_night|greedy,5.758,5.874,5.569,5.593,4.331,6.611,18_scenario_7,road4,jerk,sunny_night,greedy
18_scenario_8|road4|jerk|sunny_night|greedy,5.796,6.798,8.865,7.306,6.633,6.659,18_scenario_8,road4,jerk,sunny_night,greedy
18_scenario_9|road4|jerk|sunny_night|greedy,7.12,6.749,6.784,6.521,6.015,4.703,18_scenario_9,road4,jerk,sunny_night,greedy
19_scenario_0|road4|jerk|sunny_night|greedy,0.001,0.0,1.746,3.981,5.53,6.927,19_scenario_0,road4,jerk,sunny_night,greedy
19_scenario_1|road4|jerk|sunny_night|greedy,8.467,9.507,9.745,10.01,10.101,7.745,19_scenario_1,road4,jerk,sunny_night,greedy
19_scenario_10|road4|jerk|sunny_night|greedy,2.075,1.58,2.03,1.652,1.386,1.151,19_scenario_10,road4,jerk,sunny_night,greedy
19_scenario_11|road4|jerk|sunny_night|greedy,1.462,1.24,0.995,0.991,1.321,1.093,19_scenario_11,road4,jerk,sunny_night,greedy
19_scenario_12|road4|jerk|sunny_night|greedy,0.859,0.001,1.188,0.9,0.001,0.0,19_scenario_12,road4,jerk,sunny_night,greedy
19_scenario_13|road4|jerk|sunny_night|greedy,0.0,0.034,1.171,0.885,0.001,0.0,19_scenario_13,road4,jerk,sunny_night,greedy
19_scenario_2|road4|jerk|sunny_night|greedy,5.57,4.506,6.387,7.939,8.238,9.095,19_scenario_2,road4,jerk,sunny_night,greedy
19_scenario_3|road4|jerk|sunny_night|greedy,9.194,9.442,9.705,10.013,10.108,10.197,19_scenario_3,road4,jerk,sunny_night,greedy
19_scenario_4|road4|jerk|sunny_night|greedy,10.286,10.374,10.462,8.107,6.736,5.976,19_scenario_4,road4,jerk,sunny_night,greedy
19_scenario_5|road4|jerk|sunny_night|greedy,5.587,5.866,6.039,5.75,4.607,6.184,19_scenario_5,road4,jerk,sunny_night,greedy
19_scenario_6|road4|jerk|sunny_night|greedy,6.443,6.98,8.419,9.116,9.215,7.431,19_scenario_6,road4,jerk,sunny_night,greedy
19_scenario_7|road4|jerk|sunny_night|greedy,6.225,5.089,5.564,5.766,5.516,5.277,19_scenario_7,road4,jerk,sunny_night,greedy
19_scenario_8|road4|jerk|sunny_night|greedy,5.201,4.611,4.743,4.281,3.606,3.378,19_scenario_8,road4,jerk,sunny_night,greedy
19_scenario_9|road4|jerk|sunny_night|greedy,3.2,2.655,2.628,2.753,2.656,2.255,19_scenario_9,road4,jerk,sunny_night,greedy
1_scenario_0|road4|jerk|sunny_night|greedy,0.187,1.857,3.752,5.238,6.66,7.85,1_scenario_0,road4,jerk,sunny_night,greedy
1_scenario_1|road4|jerk|sunny_night|greedy,8.193,8.488,8.779,8.883,8.986,9.127,1_scenario_1,road4,jerk,sunny_night,greedy
1_scenario_10|road4|jerk|sunny_night|greedy,2.015,1.511,1.245,1.059,1.209,1.061,1_scenario_10,road4,jerk,sunny_night,greedy
1_scenario_11|road4|jerk|sunny_night|greedy,1.466,1.135,0.836,0.001,1.35,1.014,1_scenario_11,road4,jerk,sunny_night,greedy
1_scenario_2|road4|jerk|sunny_night|greedy,9.254,9.516,9.759,10.02,10.11,10.199,1_scenario_2,road4,jerk,sunny_night,greedy
1_scenario_3|road4|jerk|sunny_night|greedy,10.288,10.404,10.49,10.574,10.659,10.741,1_scenario_3,road4,jerk,sunny_night,greedy
1_scenario_4|road4|jerk|sunny_night|greedy,10.824,8.187,6.761,5.991,5.471,5.264,1_scenario_4,road4,jerk,sunny_night,greedy
1_scenario_5|road4|jerk|sunny_night|greedy,5.001,6.363,4.396,4.527,5.985,6.266,1_scenario_5,road4,jerk,sunny_night,greedy
1_scenario_6|road4|jerk|sunny_night|greedy,7.722,8.527,8.634,8.731,8.831,7.683,1_scenario_6,road4,jerk,sunny_night,greedy
1_scenario_7|road4|jerk|sunny_night|greedy,6.601,5.701,5.775,5.53,4.717,4.496,1_scenario_7,road4,jerk,sunny_night,greedy
1_scenario_8|road4|jerk|sunny_night|greedy,4.258,3.532,3.305,3.095,2.877,1.893,1_scenario_8,road4,jerk,sunny_night,greedy
1_scenario_9|road4|jerk|sunny_night|greedy,3.402,2.86,2.455,1.914,1.8,1.578,1_scenario_9,road4,jerk,sunny_night,greedy
2_scenario_0|road4|jerk|sunny_night|greedy,0.001,1.628,3.988,5.789,6.457,7.553,2_scenario_0,road4,jerk,sunny_night,greedy
2_scenario_1|road4|jerk|sunny_night|greedy,8.19,8.347,8.79,8.895,9.002,9.145,2_scenario_1,road4,jerk,sunny_night,greedy
2_scenario_10|road4|jerk|sunny_night|greedy,1.489,1.133,0.838,0.001,1.65,1.364,2_scenario_10,road4,jerk,sunny_night,greedy
2_scenario_2|road4|jerk|sunny_night|greedy,9.285,9.552,9.808,10.049,10.141,10.228,2_scenario_2,road4,jerk,sunny_night,greedy
2_scenario_3|road4|jerk|sunny_night|greedy,10.312,10.35,7.766,7.832,6.102,6.48,2_scenario_3,road4,jerk,sunny_night,greedy
2_scenario_4|road4|jerk|sunny_night|greedy,6.732,6.077,6.222,6.365,6.034,6.072,2_scenario_4,road4,jerk,sunny_night,greedy
2_scenario_5|road4|jerk|sunny_night|greedy,5.387,5.52,5.358,5.478,5.752,5.981,2_scenario_5,road4,jerk,sunny_night,greedy
2_scenario_6|road4|jerk|sunny_night|greedy,5.485,4.355,6.316,8.124,8.267,9.529,2_scenario_6,road4,jerk,sunny_night,greedy
2_scenario_7|road4|jerk|sunny_night|greedy,9.752,10.016,10.103,10.185,10.27,9.879,2_scenario_7,road4,jerk,sunny_night,greedy
2_scenario_8|road4|jerk|sunny_night|greedy,8.716,7.465,5.796,4.577,3.417,2.457,2_scenario_8,road4,jerk,sunny_night,greedy
2_scenario_9|road4|jerk|sunny_night|greedy,1.728,1.445,0.002,0.0,1.332,1.763,2_scenario_9,road4,jerk,sunny_night,greedy
3_scenario_0|road4|jerk|sunny_night|greedy,0.021,0.886,3.129,4.857,6.501,8.076,3_scenario_0,road4,jerk,sunny_night,greedy
3_scenario_1|road4|jerk|sunny_night|greedy,9.017,9.126,9.241,9.507,7.622,7.083,3_scenario_1,road4,jerk,sunny_night,greedy
3_scenario_10|road4|jerk|sunny_night|greedy,3.658,4.823,6.01,4.943,4.019,5.908,3_scenario_10,road4,jerk,sunny_night,greedy
3_scenario_11|road4|jerk|sunny_night|greedy,6.084,5.356,5.545,4.852,4.594,4.013,3_scenario_11,road4,jerk,sunny_night,greedy
3_scenario_12|road4|jerk|sunny_night|greedy,4.4,4.068,3.571,3.287,3.099,2.989,3_scenario_12,road4,jerk,sunny_night,greedy
3_scenario_13|road4|jerk|sunny_night|greedy,2.45,2.104,2.268,2.056,1.84,1.623,3_scenario_13,road4,jerk,sunny_night,greedy
3_scenario_14|road4|jerk|sunny_night|greedy,1.81,1.58,1.402,1.205,1.413,1.238,3_scenario_14,road4,jerk,sunny_night,greedy
3_scenario_15|road4|jerk|sunny_night|greedy,1.05,0.833,1.014,1.36,1.023,0.779,3_scenario_15,road4,jerk,sunny_night,greedy
3_scenario_16|road4|jerk|sunny_night|greedy,0.091,1.279,1.097,0.797,0.001,0.0,3_scenario_16,road4,jerk,sunny_night,greedy
3_scenario_2|road4|jerk|sunny_night|greedy,4.819,3.68,2.056,1.312,0.922,0.001,3_scenario_2,road4,jerk,sunny_night,greedy
3_scenario_3|road4|jerk|sunny_night|greedy,0.0,0.0,0.0,0.0,0.0,0.0,3_scenario_3,road4,jerk,sunny_night,greedy
3_scenario_4|road4|jerk|sunny_night|greedy,0.0,0.0,1.793,3.997,5.396,7.306,3_scenario_4,road4,jerk,sunny_night,greedy
3_scenario_5|road4|jerk|sunny_night|greedy,5.672,7.038,7.157,7.251,6.987,8.147,3_scenario_5,road4,jerk,sunny_night,greedy
3_scenario_6|road4|jerk|sunny_night|greedy,8.415,7.172,7.384,7.509,7.636,7.6,3_scenario_6,road4,jerk,sunny_night,greedy
3_scenario_7|road4|jerk|sunny_night|greedy,6.732,6.172,5.647,5.524,5.364,5.55,3_scenario_7,road4,jerk,sunny_night,greedy
3_scenario_8|road4|jerk|sunny_night|greedy,5.721,6.007,6.068,5.953,4.822,5.925,3_scenario_8,road4,jerk,sunny_night,greedy
3_scenario_9|road4|jerk|sunny_night|greedy,4.823,5.968,4.745,3.792,4.77,4.668,3_scenario_9,road4,jerk,sunny_night,greedy
4_scenario_0|road4|jerk|sunny_night|greedy,0.001,1.714,4.093,3.064,2.782,3.934,4_scenario_0,road4,jerk,sunny_night,greedy
4_scenario_1|road4|jerk|sunny_night|greedy,4.369,5.502,7.461,8.102,8.653,8.756,4_scenario_1,road4,jerk,sunny_night,greedy
4_scenario_10|road4|jerk|sunny_night|greedy,2.474,2.132,2.233,2.515,2.15,1.951,4_scenario_10,road4,jerk,sunny_night,greedy
4_scenario_11|road4|jerk|sunny_night|greedy,1.727,1.415,1.179,1.14,1.344,1.139,4_scenario_11,road4,jerk,sunny_night,greedy
4_scenario_12|road4|jerk|sunny_night|greedy,0.894,0.001,1.632,1.335,0.002,1.503,4_scenario_12,road4,jerk,sunny_night,greedy
4_scenario_2|road4|jerk|sunny_night|greedy,8.859,8.967,9.095,9.202,9.467,9.734,4_scenario_2,road4,jerk,sunny_night,greedy
4_scenario_3|road4|jerk|sunny_night|greedy,10.024,10.115,10.203,10.294,10.377,10.461,4_scenario_3,road4,jerk,sunny_night,greedy
4_scenario_4|road4|jerk|sunny_night|greedy,7.937,6.294,6.366,6.511,6.57,5.634,4_scenario_4,road4,jerk,sunny_night,greedy
4_scenario_5|road4|jerk|sunny_night|greedy,5.603,5.736,5.624,5.751,5.588,5.827,4_scenario_5,road4,jerk,sunny_night,greedy
4_scenario_6|road4|jerk|sunny_night|greedy,4.742,5.848,4.77,5.985,7.769,8.439,4_scenario_6,road4,jerk,sunny_night,greedy
4_scenario_7|road4|jerk|sunny_night|greedy,8.836,8.365,8.047,7.286,6.726,6.005,4_scenario_7,road4,jerk,sunny_night,greedy
4_scenario_8|road4|jerk|sunny_night|greedy,5.774,4.873,5.01,4.03,3.892,3.686,4_scenario_8,road4,jerk,sunny_night,greedy
4_scenario_9|road4|jerk|sunny_night|greedy,3.59,3.245,3.019,3.319,2.928,2.602,4_scenario_9,road4,jerk,sunny_night,greedy
5_scenario_0|road4|jerk|sunny_night|greedy,0.034,0.907,3.146,4.621,5.781,7.2,5_scenario_0,road4,jerk,sunny_night,greedy
5_scenario_1|road4|jerk|sunny_night|greedy,8.256,8.407,8.66,9.026,9.124,9.226,5_scenario_1,road4,jerk,sunny_night,greedy
5_scenario_10|road4|jerk|sunny_night|greedy,2.516,1.962,1.503,1.15,2.242,1.963,5_scenario_10,road4,jerk,sunny_night,greedy
5_scenario_11|road4|jerk|sunny_night|greedy,1.515,1.26,1.11,1.477,1.618,1.376,5_scenario_11,road4,jerk,sunny_night,greedy
5_scenario_12|road4|jerk|sunny_night|greedy,1.141,0.886,0.001,1.748,1.427,1.053,5_scenario_12,road4,jerk,sunny_night,greedy
5_scenario_2|road4|jerk|sunny_night|greedy,6.788,7.266,4.996,2.821,0.001,0.121,5_scenario_2,road4,jerk,sunny_night,greedy
5_scenario_3|road4|jerk|sunny_night|greedy,0.309,1.908,4.051,5.551,7.481,8.125,5_scenario_3,road4,jerk,sunny_night,greedy
5_scenario_4|road4|jerk|sunny_night|greedy,9.295,9.546,9.8,10.056,10.149,10.235,5_scenario_4,road4,jerk,sunny_night,greedy
5_scenario_5|road4|jerk|sunny_night|greedy,10.326,10.41,10.498,7.914,6.746,6.004,5_scenario_5,road4,jerk,sunny_night,greedy
5_scenario_6|road4|jerk|sunny_night|greedy,5.136,6.251,4.215,5.945,7.38,5.969,5_scenario_6,road4,jerk,sunny_night,greedy
5_scenario_7|road4|jerk|sunny_night|greedy,7.419,8.143,7.001,8.918,8.38,7.478,5_scenario_7,road4,jerk,sunny_night,greedy
5_scenario_8|road4|jerk|sunny_night|greedy,7.266,6.475,6.362,5.808,5.691,4.912,5_scenario_8,road4,jerk,sunny_night,greedy
5_scenario_9|road4|jerk|sunny_night|greedy,4.561,3.939,3.787,4.024,3.573,3.131,5_scenario_9,road4,jerk,sunny_night,greedy
6_scenario_0|road4|jerk|sunny_night|greedy,0.001,1.487,3.416,4.972,6.536,8.112,6_scenario_0,road4,jerk,sunny_night,greedy
6_scenario_1|road4|jerk|sunny_night|greedy,9.316,9.571,9.835,9.991,9.472,8.248,6_scenario_1,road4,jerk,sunny_night,greedy
6_scenario_10|road4|jerk|sunny_night|greedy,2.184,1.743,2.136,1.998,1.696,1.458,6_scenario_10,road4,jerk,sunny_night,greedy
6_scenario_11|road4|jerk|sunny_night|greedy,1.31,1.122,1.368,1.148,1.128,0.924,6_scenario_11,road4,jerk,sunny_night,greedy
6_scenario_12|road4|jerk|sunny_night|greedy,1.062,0.836,0.001,1.056,0.927,0.001,6_scenario_12,road4,jerk,sunny_night,greedy
6_scenario_13|road4|jerk|sunny_night|greedy,0.941,0.001,0.742,0.001,0.0,0.0,6_scenario_13,road4,jerk,sunny_night,greedy
6_scenario_2|road4|jerk|sunny_night|greedy,9.185,9.42,9.681,9.988,10.085,10.174,6_scenario_2,road4,jerk,sunny_night,greedy
6_scenario_3|road4|jerk|sunny_night|greedy,10.262,10.352,10.436,10.523,10.606,10.692,6_scenario_3,road4,jerk,sunny_night,greedy
6_scenario_4|road4|jerk|sunny_night|greedy,10.775,8.19,6.943,6.128,5.331,5.473,6_scenario_4,road4,jerk,sunny_night,greedy
6_scenario_5|road4|jerk|sunny_night|greedy,5.584,4.487,5.902,4.843,6.28,8.151,6_scenario_5,road4,jerk,sunny_night,greedy
6_scenario_6|road4|jerk|sunny_night|greedy,8.273,8.61,5.844,4.83,3.842,2.827,6_scenario_6,road4,jerk,sunny_night,greedy
6_scenario_7|road4|jerk|sunny_night|greedy,1.782,1.759,2.505,2.867,4.061,5.508,6_scenario_7,road4,jerk,sunny_night,greedy
6_scenario_8|road4|jerk|sunny_night|greedy,5.393,4.887,4.704,4.558,4.291,4.666,6_scenario_8,road4,jerk,sunny_night,greedy
6_scenario_9|road4|jerk|sunny_night|greedy,3.942,3.249,2.801,2.944,2.82,2.496,6_scenario_9,road4,jerk,sunny_night,greedy
7_scenario_0|road4|jerk|sunny_night|greedy,0.001,1.593,3.923,5.633,6.366,6.73,7_scenario_0,road4,jerk,sunny_night,greedy
7_scenario_1|road4|jerk|sunny_night|greedy,7.764,8.473,8.838,8.954,9.053,8.757,7_scenario_1,road4,jerk,sunny_night,greedy
